epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,159.694,0.89304,2.22227,1.13994,0.00863,1,0.81441,0.60549,0.65057,2.72272,1.00837,0.00016,0.00016,0.00016
2,289.31,0.81893,1.20187,1.07386,0.9601,0.82034,0.93143,0.69145,1.01313,2.15558,1.29247,0.00031756,0.00031756,0.00031756
3,432.055,0.83138,1.08797,1.10636,0.95703,0.75929,0.91759,0.68523,0.76799,2.00391,1.12253,0.00045136,0.00045136,0.00045136
4,542.887,0.76118,0.99043,1.05806,0.91297,0.81818,0.91291,0.68723,0.67974,1.57203,1.06747,0.0005614,0.0005614,0.0005614
5,632.826,0.79498,0.95743,1.04493,0.99127,0.72727,0.86817,0.60299,1.03284,1.96512,1.16576,0.00064768,0.00064768,0.00064768
6,709.777,0.74277,1.20411,1.00106,0.94415,0.76839,0.89587,0.58537,0.86466,2.02081,1.20891,0.0007102,0.0007102,0.0007102
7,786.622,0.68615,1.02273,1.00991,0.95474,0.82955,0.93105,0.68391,0.6885,1.40615,1.02962,0.00074896,0.00074896,0.00074896
8,856.47,0.66736,0.98871,0.99318,0.96553,0.84091,0.94322,0.69837,0.65705,1.43426,1.01139,0.00076396,0.00076396,0.00076396
9,935.217,0.66635,0.98147,0.97989,0.95017,0.86678,0.93626,0.68716,0.77389,1.57574,1.06136,0.0007552,0.0007552,0.0007552
10,1018.3,0.65169,0.9376,0.99373,0.95457,0.875,0.92904,0.68969,0.83345,1.39359,1.08878,0.00072268,0.00072268,0.00072268
